marca,model,an,km,putere,cutie_de_viteze,combustibil,capacitate_cilindrica,transmisie,caroserie,culoare,optiuni_culoare,pret,id,addons
Opel,Opel_Astra,2008,283100,115,Manuala,Benzina + CNG/GPL,1598,Fata,Masina de oras,Gri,Metalizata,3650,0,33
Volkswagen,Volkswagen_Tiguan,2017,215994,190,Automata,Diesel,1968,4x4 (automat),SUV,Negru,Metalizata,17950,1,109
Ford,Ford_Transit,2011,226000,116,Manuala,Diesel,2402,Fata,Monovolum,Alb,Fara,9500,2,14
Audi,Audi_A6,2013,290000,180,Automata,Benzina,1984,Fata,Sedan,Negru,Fara,11750,3,40
Land Rover,Land Rover_Discovery,2018,116628,258,Automata,Diesel,2993,4x4 (automat),SUV,Negru,Metalizata,38675,4,67
Seat,Seat_Ibiza,2013,208452,75,Manuala,Diesel,1199,Fata,Masina de oras,Negru,Metalizata,4350,5,25
Mercedes-Benz,Mercedes-Benz_C,2018,71645,156,Automata,Benzina,1595,Spate,Cabrio,Negru,Fara,30790,6,64
BMW,BMW_Seria 5,2016,191100,190,Automata,Diesel,1995,4x4 (automat),Combi,Negru,Metalizata,17850,7,86
Subaru,Subaru_XV,2013,240000,147,Manuala,Diesel,1998,4x4 (manual),Combi,Albastru,Metalizata,6500,8,30
Audi,Audi_A8,2012,240000,290,Automata,Benzina,2995,4x4 (automat),Sedan,Albastru,Metalizata,21000,9,33
Volkswagen,Volkswagen_Transporter,2011,350000,140,Manuala,Diesel,1968,Fata,Monovolum,Negru,Metalizata,12400,10,13
Volkswagen,Volkswagen_Tiguan,2012,193084,140,Manuala,Diesel,1968,4x4 (automat),SUV,Bej,Metalizata,11999,11,1
Renault,Renault_Megane,2018,93748,130,Manuala,Benzina,1197,Fata,Compacta,Alb,Metalizata,9996,12,29
Mitsubishi,Mitsubishi_Pajero,2008,240000,170,Automata,Diesel,3200,4x4 (manual),SUV,Negru,Metalizata,12500,13,53
Mercedes-Benz,Mercedes-Benz_CLA,2014,213200,109,Automata,Diesel,1461,Fata,Coupe,Gri,Metalizata,17990,14,1
Mercedes-Benz,Mercedes-Benz_C,2021,7480,258,Automata,Benzina,1999,4x4 (automat),Sedan,Gri,Fara,65990,15,1
Audi,Audi_Q3,2012,191000,170,Manuala,Benzina,1984,4x4 (manual),SUV,Albastru,Metalizata,12250,16,63
Mercedes-Benz,Mercedes-Benz_Citan,2022,5340,75,Manuala,Diesel,1461,Fata,Monovolum,Alb,Fara,23000,17,20
Kia,Kia_Sportage,2015,145000,185,Automata,Diesel,1995,4x4 (manual),SUV,Negru,Mat,13950,18,33
Renault,Renault_Espace,2016,200000,160,Automata,Diesel,1598,Fata,Monovolum,Negru,Metalizata,14650,19,49
Nissan,Nissan_X-Trail,2019,73000,150,Automata,Diesel,1749,4x4 (automat),SUV,Negru,Fara,26000,20,101
Seat,Seat_Leon,2014,171500,105,Manuala,Diesel,1598,Fata,Combi,Gri,Metalizata,7890,21,31
Toyota,Toyota_Corolla,2020,57234,98,Automata,Hibrid,1798,Fata,Combi,Albastru,Metalizata,24449,22,55
Skoda,Skoda_Superb,2018,101495,150,Automata,Benzina,1395,Fata,Sedan,Argint,Metalizata,19600,23,46
Volkswagen,Volkswagen_Tiguan,2020,213000,190,Automata,Diesel,1968,4x4 (automat),SUV,Alb,Perlat,22500,24,50
Volkswagen,Volkswagen_Tiguan,2009,217850,140,Manuala,Diesel,1968,4x4 (automat),SUV,Gri,Metalizata,7900,25,24
Kia,Kia_Sportage,2018,86000,185,Automata,Diesel,1995,4x4 (automat),SUV,Maro,Metalizata,24000,26,35
Volkswagen,Volkswagen_Amarok,2020,73387,258,Automata,Diesel,2967,4x4 (automat),SUV,Galben/Auriu,Fara,43899,27,43
Volvo,Volvo_XC 60,2016,190000,136,Manuala,Diesel,1984,Fata,SUV,Negru,Metalizata,16200,28,36
BMW,BMW_Seria 5,2014,243000,258,Automata,Diesel,2993,4x4 (automat),Sedan,Negru,Metalizata,17500,29,99
Skoda,Skoda_Superb,2017,120000,190,Automata,Diesel,1968,Fata,Sedan,Alb,Fara,22500,30,92
Mazda,Mazda_CX-5,2016,203000,150,Automata,Diesel,2191,4x4 (automat),SUV,Albastru,Metalizata,14199,31,64
Opel,Opel_Astra,2003,270000,80,Manuala,Diesel,1686,Fata,Combi,Gri,Fara,1100,32,7
Nissan,Nissan_Qashqai,2015,239000,115,Automata,Benzina,1197,Fata,SUV,Maro,Fara,11300,33,56
Jaguar,Jaguar_XE,2016,159800,163,Automata,Diesel,1999,Spate,Sedan,Gri,Metalizata,13750,34,20
Toyota,Toyota_Supra,2022,9,340,Automata,Benzina,2998,Fata,Coupe,Galben/Auriu,Metalizata,65210,35,49
Ford,Ford_EcoSport,2019,81600,100,Manuala,Benzina,999,Fata,SUV,Gri,Metalizata,13989,36,32
Dacia,Dacia_Logan,2015,202546,90,Manuala,Diesel,1461,Fata,Combi,Albastru,Metalizata,6999,37,26
Audi,Audi_A6,2008,226000,220,Automata,Benzina,2773,Fata,Sedan,Negru,Fara,5650,38,54
Renault,Renault_Megane,2009,230000,130,Manuala,Diesel,1870,Fata,Compacta,Argint,Metalizata,4850,39,14
Cupra,Cupra_Formentor,2021,39000,310,Automata,Benzina,1984,4x4 (automat),SUV,Albastru,Mat,42500,40,111
Audi,Audi_A1,2013,144756,105,Manuala,Diesel,1598,Fata,Masina de oras,Albastru,Metalizata,9650,41,39
Mercedes-Benz,Mercedes-Benz_CLA,2015,190250,156,Automata,Benzina,1595,Fata,Sedan,Rosu,Fara,17990,42,45
Ford,Ford_Fiesta,2018,159400,85,Manuala,Diesel,1498,Fata,Compacta,Alb,Fara,7999,43,36
Volkswagen,Volkswagen_Polo,2018,99910,80,Manuala,Diesel,1598,Fata,Masina de oras,Gri,Fara,10999,44,33
Skoda,Skoda_Octavia,2019,64900,245,Automata,Benzina,1984,Fata,Sedan,Gri,Fara,28970,45,15
Nissan,Nissan_Qashqai,2017,141200,130,Manuala,Diesel,1598,Fata,SUV,Gri,Metalizata,18380,46,101
Jaguar,Jaguar_S-Type,2006,165000,207,Automata,Diesel,2720,4x4 (automat),Sedan,Gri,Metalizata,4999,47,31
Renault,Renault_Megane,2018,135374,110,Manuala,Diesel,1461,Fata,Compacta,Alb,Fara,9800,48,21
Opel,Opel_Vivaro,2012,216000,90,Manuala,Diesel,1995,Fata,Monovolum,Alb,Fara,7150,49,20
Volkswagen,Volkswagen_Tiguan,2017,159600,240,Automata,Diesel,1968,4x4 (automat),SUV,Alb,Fara,25940,50,73
Audi,Audi_A5,2016,120000,245,Automata,Diesel,2967,4x4 (automat),Sedan,Albastru,Metalizata,18999,51,121
Mazda,Mazda_6,2018,116400,150,Automata,Diesel,2191,Fata,Sedan,Gri,Metalizata,16900,52,63
Seat,Seat_Leon,2015,65000,150,Manuala,Benzina,1395,Fata,Compacta,Alb,Fara,13900,53,34
Land Rover,Land Rover_Discovery,2017,94107,258,Automata,Diesel,2993,4x4 (automat),SUV,Rosu,Metalizata,43900,54,91
Audi,Audi_A6,2014,300000,245,Automata,Diesel,2967,4x4 (automat),Sedan,Negru,Metalizata,13900,55,83
Opel,Opel_Astra,2008,223000,125,Manuala,Diesel,1686,Fata,Combi,Gri,Metalizata,2780,56,16
Volkswagen,Volkswagen_Tiguan,2019,31500,220,Automata,Benzina,1984,4x4 (automat),SUV,Gri,Metalizata,31500,57,115
Mitsubishi,Mitsubishi_Outlander,2017,199260,150,Automata,Diesel,2268,4x4 (automat),SUV,Gri,Fara,15950,58,57
Skoda,Skoda_Octavia,2011,221000,122,Manuala,Benzina,1390,Fata,Combi,Gri,Metalizata,5650,59,29
Renault,Renault_Megane,2012,199000,110,Manuala,Diesel,1461,Fata,Combi,Gri,Metalizata,5500,60,35
Skoda,Skoda_RAPID,2018,44905,110,Manuala,Benzina,999,Fata,Sedan,Gri,Fara,10900,61,27
Alfa Romeo,Alfa Romeo_156,2004,225000,116,Manuala,Diesel,1910,Fata,Sedan,Albastru,Metalizata,1000,62,16
Toyota,Toyota_Corolla,2021,47095,98,Automata,Hibrid,1798,Fata,Sedan,Verde,Metalizata,23900,63,1
BMW,BMW_Seria 7,2018,40750,320,Automata,Diesel,2993,4x4 (automat),Sedan,Alte culori,Metalizata,64900,64,57
Peugeot,Peugeot_3008,2012,189500,110,Automata,Diesel,1560,Fata,SUV,Albastru,Metalizata,7190,65,14
Audi,Audi_A4,2018,126791,150,Automata,Diesel,1968,Fata,Combi,Gri,Fara,23500,66,38
Skoda,Skoda_Octavia,2015,249850,150,Automata,Diesel,1968,Fata,Sedan,Gri,Metalizata,13250,67,27
Hyundai,Hyundai_Tucson,2019,183794,132,Manuala,Benzina,1591,Fata,SUV,Alb,Fara,16350,68,49
BMW,BMW_X3,2022,38200,190,Automata,Diesel,1995,4x4 (automat),SUV,Alte culori,Fara,58643,69,2
Mercedes-Benz,Mercedes-Benz_GLC,2016,142500,204,Automata,Diesel,2143,4x4 (automat),SUV,Rosu,Metalizata,24990,70,41
Subaru,Subaru_Legacy,2015,268000,150,Automata,Diesel,1998,4x4 (automat),Combi,Negru,Metalizata,11999,71,1
Renault,Renault_Megane,2019,126130,115,Automata,Diesel,1461,Fata,Combi,Gri,Metalizata,12790,72,41
Audi,Audi_A7,2019,60400,286,Automata,Diesel,2967,4x4 (automat),Sedan,Alb,Metalizata,61995,73,17
Volkswagen,Volkswagen_T-Cross,2023,4,110,Automata,Benzina,999,Fata,SUV,Negru,Metalizata,23410,74,65
BMW,BMW_X3,2016,118000,191,Automata,Diesel,1995,4x4 (automat),SUV,Gri,Metalizata,25700,75,84
Volkswagen,Volkswagen_Touareg,2005,211360,225,Automata,Diesel,2967,4x4 (automat),SUV,Gri,Metalizata,5190,76,25
Audi,Audi_A6,2020,23700,340,Automata,Benzina,2995,4x4 (automat),Sedan,Albastru,Metalizata,54980,77,121
Volkswagen,Volkswagen_Multivan,2022,7000,150,Automata,Diesel,1968,Fata,Monovolum,Alte culori,Metalizata,55400,78,64
Citroën,Citroën_C-Crosser,2010,256000,156,Automata,Diesel,2179,4x4 (manual),SUV,Negru,Fara,5800,79,39
Volkswagen,Volkswagen_Golf,2013,180000,105,Manuala,Diesel,1598,Fata,Compacta,Albastru,Metalizata,9450,80,26
Mercedes-Benz,Mercedes-Benz_C,2012,249508,136,Automata,Diesel,2143,Spate,Combi,Rosu,Metalizata,10950,81,23
Audi,Audi_Q3,2021,27241,150,Automata,Benzina,1498,4x4 (automat),SUV,Rosu,Metalizata,44030,82,95
BMW,BMW_X6,2013,268000,245,Automata,Diesel,2993,4x4 (automat),SUV,Negru,Metalizata,19800,83,56
Kia,Kia_Sorento,2014,182000,197,Automata,Diesel,2199,4x4 (automat),SUV,Alb,Perlat,14250,84,12
Audi,Audi_A4,2018,68197,190,Automata,Diesel,1968,4x4 (automat),Sedan,Negru,Metalizata,25899,85,29
Renault,Renault_Megane,2012,249000,110,Manuala,Diesel,1461,Fata,Combi,Gri,Metalizata,6350,86,28
Volvo,Volvo_XC 90,2022,32500,235,Automata,Diesel,1969,4x4 (automat),SUV,Argint,Metalizata,57700,87,100
Dacia,Dacia_Duster,2018,66325,90,Manuala,Diesel,1461,4x4 (manual),SUV,Alb,Fara,14000,88,22
Toyota,Toyota_RAV4,2012,192000,150,Manuala,Diesel,2231,4x4 (manual),SUV,Maro,Metalizata,7300,89,36
Audi,Audi_A5,2016,164010,150,Manuala,Diesel,1968,Fata,Sedan,Alb,Metalizata,17850,90,56
Toyota,Toyota_C-HR,2017,93970,98,Automata,Hibrid,1798,Fata,SUV,Argint,Metalizata,22700,91,76
Peugeot,Peugeot_308,2008,186000,120,Manuala,Benzina,1598,Fata,Compacta,Gri,Metalizata,3450,92,17
Skoda,Skoda_Superb,2019,145250,191,Automata,Diesel,1968,Fata,Sedan,Alb,Metalizata,30399,93,18
BMW,BMW_Seria 4,2015,175000,313,Automata,Diesel,2993,4x4 (automat),Sedan,Negru,Metalizata,21990,94,75
Ford,Ford_Focus,2020,135000,120,Manuala,Diesel,1499,Fata,Compacta,Alb,Metalizata,16999,95,60
Opel,Opel_Astra,2012,160000,140,Automata,Benzina,1364,Fata,Compacta,Albastru,Metalizata,7550,96,57
Volkswagen,Volkswagen_Passat,2007,350000,105,Manuala,Diesel,1896,Fata,Combi,Albastru,Metalizata,3750,97,1
Skoda,Skoda_Karoq,2019,107490,116,Automata,Diesel,1598,Fata,SUV,Negru,Fara,21890,98,17
Dacia,Dacia_Logan,2021,4500,100,Manuala,Benzina + CNG/GPL,999,Fata,Sedan,Gri,Metalizata,13500,99,47
Peugeot,Peugeot_Boxer,2017,123132,130,Manuala,Diesel,1997,Fata,Monovolum,Gri,Metalizata,20000,100,14
Ford,Ford_Mondeo,2012,274002,115,Manuala,Diesel,1560,Fata,Sedan,Negru,Fara,5980,101,58
Volkswagen,Volkswagen_Golf,2012,212000,105,Manuala,Diesel,1598,Fata,Compacta,Alb,Fara,5800,102,39
Skoda,Skoda_Fabia,2009,164260,86,Manuala,Benzina + CNG/GPL,1390,Fata,Masina de oras,Albastru,Metalizata,3950,103,30
BMW,BMW_X1,2018,109840,150,Automata,Diesel,1995,4x4 (automat),SUV,Alb,Metalizata,26899,104,75
Audi,Audi_A4,2019,84865,150,Automata,Diesel,1968,Fata,Sedan,Gri,Metalizata,25500,105,34
Ford,Ford_Focus,2013,240000,115,Manuala,Diesel,1560,Fata,Combi,Negru,Metalizata,5990,106,24
Smart,Smart_Forfour,2005,223000,95,Manuala,Benzina,1332,Fata,Masina de oras,Negru,Fara,1699,107,9
Ford,Ford_Mondeo,2017,93000,150,Manuala,Diesel,1997,Fata,Sedan,Albastru,Metalizata,16500,108,62
Peugeot,Peugeot_308,2016,223609,99,Manuala,Diesel,1560,Fata,Compacta,Alb,Perlat,6700,109,35
Kia,Kia_Sportage,2018,131685,136,Automata,Diesel,1995,4x4 (automat),Combi,Negru,Metalizata,18326,110,32
Chevrolet,Chevrolet_Avalanche,2002,161609,273,Automata,Benzina,5327,4x4 (automat),SUV,Albastru,Metalizata,9890,111,1
Mercedes-Benz,Mercedes-Benz_GLC,2020,157000,194,Automata,Diesel,1950,4x4 (automat),SUV,Negru,Metalizata,39865,112,93
Ford,Ford_Kuga,2017,135000,150,Manuala,Diesel,1997,4x4 (automat),SUV,Negru,Fara,14699,113,63
Volkswagen,Volkswagen_Touran,2017,110900,190,Automata,Diesel,1968,Fata,Monovolum,Negru,Fara,22490,114,18
Kia,Kia_Sorento,2019,26000,185,Automata,Diesel,1995,4x4 (automat),SUV,Alte culori,Metalizata,33000,115,96
Mercedes-Benz,Mercedes-Benz_GLS,2021,33899,330,Automata,Diesel,2925,4x4 (automat),SUV,Gri,Metalizata,97689,116,71
Hyundai,Hyundai_Veracruz,2009,271000,240,Automata,Diesel,2959,4x4 (automat),SUV,Rosu,Metalizata,6999,117,15
Audi,Audi_Q7,2023,7,340,Automata,Benzina,2995,4x4 (automat),SUV,Gri,Metalizata,95000,118,35
Land Rover,Land Rover_Range Rover Vogue,2014,222000,258,Automata,Diesel,2993,4x4 (automat),SUV,Maro,Perlat,33000,119,109
Citroën,Citroën_C5,2022,9000,180,Automata,Benzina,1598,Fata,Sedan,Alb,Perlat,34510,120,72
BMW,BMW_Seria 3,2010,255000,143,Automata,Benzina,1995,Spate,Compacta,Gri,Fara,2500,121,32
Ford,Ford_Focus,2018,129000,125,Automata,Benzina,999,Fata,Combi,Bej,Metalizata,10650,122,34
Mercedes-Benz,Mercedes-Benz_GLC Coupe,2020,8000,194,Automata,Diesel,1950,4x4 (automat),SUV,Gri,Metalizata,57999,123,100
Volkswagen,Volkswagen_Golf,2017,115393,115,Manuala,Diesel,1598,Fata,Combi,Gri,Metalizata,13900,124,59
Peugeot,Peugeot_3008,2019,91800,130,Automata,Benzina,1199,Fata,SUV,Negru,Fara,19450,125,45
Audi,Audi_A4,2016,128000,190,Automata,Diesel,1968,Fata,Sedan,Negru,Fara,19900,126,38
Audi,Audi_Q3,2019,54415,150,Automata,Benzina,1498,Fata,SUV,Alte culori,Metalizata,32990,127,69
Skoda,Skoda_Octavia,2019,94622,116,Manuala,Diesel,1598,Fata,Sedan,Gri,Fara,16999,128,15
Nissan,Nissan_X-Trail,2017,227000,130,Manuala,Diesel,1598,4x4 (manual),SUV,Albastru,Fara,14990,129,69
BMW,BMW_Seria 5,2022,26,190,Automata,Diesel,1995,4x4 (automat),Sedan,Alte culori,Fara,62300,130,1
Volkswagen,Volkswagen_Phaeton,2011,193000,240,Automata,Diesel,2967,4x4 (automat),Sedan,Maro,Perlat,11900,131,94
Audi,Audi_A3,2011,193870,105,Manuala,Benzina,1197,Fata,Compacta,Albastru,Metalizata,6999,132,1
Mini,Mini_Cooper S,2007,124620,174,Manuala,Benzina,1598,Fata,Masina mica,Alb,Metalizata,7990,133,13
Mercedes-Benz,Mercedes-Benz_CLS,2021,17300,330,Automata,Diesel,2925,4x4 (automat),Sedan,Negru,Metalizata,89500,134,93
Kia,Kia_Carens,2017,88900,115,Manuala,Diesel,1685,Fata,Monovolum,Alb,Metalizata,8999,135,42
Skoda,Skoda_Octavia,2009,129072,102,Manuala,Benzina,1595,Fata,Sedan,Negru,Metalizata,5990,136,6
Renault,Renault_Megane,2013,290000,110,Manuala,Diesel,1461,Fata,Masina de oras,Negru,Fara,6190,137,44
Renault,Renault_Clio,2010,265170,86,Manuala,Diesel,1461,Fata,Combi,Gri,Metalizata,2799,138,18
Opel,Opel_Zafira,2008,161000,120,Manuala,Diesel,1910,Fata,Monovolum,Argint,Metalizata,3999,139,1
Hyundai,Hyundai_Elantra,2017,67773,136,Automata,Diesel,1582,Fata,Sedan,Gri,Metalizata,15934,140,42
Suzuki,Suzuki_Grand Vitara,2003,206012,109,Manuala,Diesel,1997,4x4 (manual),SUV,Galben/Auriu,Fara,3400,141,7
Renault,Renault_Clio,2014,175938,90,Manuala,Diesel,1461,Fata,Combi,Gri,Metalizata,5999,142,50
Dacia,Dacia_Lodgy,2013,141500,115,Manuala,Benzina,1197,Fata,Monovolum,Alb,Fara,5650,143,28
Renault,Renault_Megane,2016,90000,90,Manuala,Diesel,1461,Fata,Compacta,Negru,Perlat,10990,144,41
Volkswagen,Volkswagen_Golf,2016,132000,110,Manuala,Diesel,1598,Fata,Compacta,Gri,Metalizata,12500,145,69
Nissan,Nissan_Qashqai,2011,199000,150,Automata,Diesel,1995,4x4 (manual),SUV,Negru,Metalizata,7800,146,49
Renault,Renault_Megane,2018,98475,110,Automata,Diesel,1461,Fata,Combi,Albastru,Metalizata,13450,147,66
Ford,Ford_Fiesta,2006,197700,75,Manuala,Benzina,1242,Fata,Masina de oras,Rosu,Metalizata,1390,148,10
Ford,Ford_Puma,2022,5,155,Manuala,Benzina,999,Fata,SUV,Rosu,Metalizata,29900,149,26
Renault,Renault_Clio,2015,212306,90,Manuala,Diesel,1461,Fata,Masina de oras,Negru,Metalizata,6490,150,25
Hyundai,Hyundai_I30,2011,221000,90,Manuala,Diesel,1582,Fata,Compacta,Gri,Metalizata,3990,151,17
Audi,Audi_A7,2019,92000,286,Automata,Diesel,2967,4x4 (automat),Sedan,Gri,Metalizata,43300,152,17
Ford,Ford_Focus,2014,195000,163,Automata,Diesel,1997,Fata,Combi,Alb,Fara,8990,153,55
Kia,Kia_Sorento,2009,212000,140,Automata,Diesel,2497,4x4 (automat),SUV,Negru,Metalizata,5500,154,27
Ford,Ford_Ranger,2021,9633,150,Automata,Diesel,2198,4x4 (automat),SUV,Galben/Auriu,Metalizata,46993,155,83
Volkswagen,Volkswagen_Passat CC,2010,275000,143,Automata,Diesel,1968,Fata,Sedan,Gri,Metalizata,8299,156,63
